,Species,TaxID,Common Name,Genome Assembly Name,N50,Number of Genes,Number of Transcripts,FASTA File,FASTA Path,GTF File,GTF Path
10,Rattus_norvegicus,10116,Rattus norvegicus,Rattus_norvegicus.mRatBN7.2.dna_sm.toplevel.fa.gz,,,,Rattus_norvegicus.mRatBN7.2.dna_sm.toplevel.fa.gz,/home/matthew.schmitz/Matthew/genome/ensembl/10116-Rattus_norvegicus/Rattus_norvegicus.mRatBN7.2.dna_sm.toplevel.fa.gz,Rattus_norvegicus.mRatBN7.2.110.gtf.gz,/home/matthew.schmitz/Matthew/genome/ensembl/10116-Rattus_norvegicus/Rattus_norvegicus.mRatBN7.2.110.gtf.gz
11,Macaca_nemestrina,9545,Macaca nemestrina,Macaca_nemestrina.Mnem_1.0.dna_sm.toplevel.fa.gz,,,,Macaca_nemestrina.Mnem_1.0.dna_sm.toplevel.fa.gz,/home/matthew.schmitz/Matthew/genome/ensembl/9545-Macaca_nemestrina/Macaca_nemestrina.Mnem_1.0.dna_sm.toplevel.fa.gz,Macaca_nemestrina.Mnem_1.0.110.gtf.gz,/home/matthew.schmitz/Matthew/genome/ensembl/9545-Macaca_nemestrina/Macaca_nemestrina.Mnem_1.0.110.gtf.gz
12,Loxodonta_africana,9785,Loxodonta africana,Loxodonta_africana.loxAfr3.dna_sm.toplevel.fa.gz,,,,Loxodonta_africana.loxAfr3.dna_sm.toplevel.fa.gz,/home/matthew.schmitz/Matthew/genome/ensembl/9785-Loxodonta_africana/Loxodonta_africana.loxAfr3.dna_sm.toplevel.fa.gz,Loxodonta_africana.loxAfr3.110.gtf.gz,/home/matthew.schmitz/Matthew/genome/ensembl/9785-Loxodonta_africana/Loxodonta_africana.loxAfr3.110.gtf.gz
13,Felis_catus,9685,Felis catus,Felis_catus.Felis_catus_9.0.dna_sm.toplevel.fa.gz,,,,Felis_catus.Felis_catus_9.0.dna_sm.toplevel.fa.gz,/home/matthew.schmitz/Matthew/genome/ensembl/9685-Felis_catus/Felis_catus.Felis_catus_9.0.dna_sm.toplevel.fa.gz,Felis_catus.Felis_catus_9.0.110.gtf.gz,/home/matthew.schmitz/Matthew/genome/ensembl/9685-Felis_catus/Felis_catus.Felis_catus_9.0.110.gtf.gz
14,Zalophus_californianus,9704,Zalophus californianus,Zalophus_californianus.mZalCal1.pri.dna_sm.toplevel.fa.gz,,,,Zalophus_californianus.mZalCal1.pri.dna_sm.toplevel.fa.gz,/home/matthew.schmitz/Matthew/genome/ensembl/9704-Zalophus_californianus/Zalophus_californianus.mZalCal1.pri.dna_sm.toplevel.fa.gz,Zalophus_californianus.mZalCal1.pri.110.gtf.gz,/home/matthew.schmitz/Matthew/genome/ensembl/9704-Zalophus_californianus/Zalophus_californianus.mZalCal1.pri.110.gtf.gz
15,Delphinapterus_leucas,9749,Delphinapterus leucas,Delphinapterus_leucas.ASM228892v3.dna_sm.toplevel.fa.gz,,,,Delphinapterus_leucas.ASM228892v3.dna_sm.toplevel.fa.gz,/home/matthew.schmitz/Matthew/genome/ensembl/9749-Delphinapterus_leucas/Delphinapterus_leucas.ASM228892v3.dna_sm.toplevel.fa.gz,Delphinapterus_leucas.ASM228892v3.110.gtf.gz,/home/matthew.schmitz/Matthew/genome/ensembl/9749-Delphinapterus_leucas/Delphinapterus_leucas.ASM228892v3.110.gtf.gz
16,Balaenoptera_musculus,9771,Balaenoptera musculus,Balaenoptera_musculus.mBalMus1.v2.dna_sm.toplevel.fa.gz,,,,Balaenoptera_musculus.mBalMus1.v2.dna_sm.toplevel.fa.gz,/home/matthew.schmitz/Matthew/genome/ensembl/9771-Balaenoptera_musculus/Balaenoptera_musculus.mBalMus1.v2.dna_sm.toplevel.fa.gz,Balaenoptera_musculus.mBalMus1.v2.110.gtf.gz,/home/matthew.schmitz/Matthew/genome/ensembl/9771-Balaenoptera_musculus/Balaenoptera_musculus.mBalMus1.v2.110.gtf.gz
17,Cebus_imitator,2715852,Cebus imitator,Cebus_imitator.Cebus_imitator-1.0.dna_sm.toplevel.fa.gz,,,,Cebus_imitator.Cebus_imitator-1.0.dna_sm.toplevel.fa.gz,/home/matthew.schmitz/Matthew/genome/ensembl/2715852-Cebus_imitator/Cebus_imitator.Cebus_imitator-1.0.dna_sm.toplevel.fa.gz,Cebus_imitator.Cebus_imitator-1.0.110.gtf.gz,/home/matthew.schmitz/Matthew/genome/ensembl/2715852-Cebus_imitator/Cebus_imitator.Cebus_imitator-1.0.110.gtf.gz
18,Dasypus_novemcinctus,9361,Dasypus novemcinctus,Dasypus_novemcinctus.Dasnov3.0.dna_sm.toplevel.fa.gz,,,,Dasypus_novemcinctus.Dasnov3.0.dna_sm.toplevel.fa.gz,/home/matthew.schmitz/Matthew/genome/ensembl/9361-Dasypus_novemcinctus/Dasypus_novemcinctus.Dasnov3.0.dna_sm.toplevel.fa.gz,Dasypus_novemcinctus.Dasnov3.0.110.gtf.gz,/home/matthew.schmitz/Matthew/genome/ensembl/9361-Dasypus_novemcinctus/Dasypus_novemcinctus.Dasnov3.0.110.gtf.gz
19,Monodelphis_domestica,13616,Monodelphis domestica,Monodelphis_domestica.ASM229v1.dna_sm.toplevel.fa.gz,,,,Monodelphis_domestica.ASM229v1.dna_sm.toplevel.fa.gz,/home/matthew.schmitz/Matthew/genome/ensembl/13616-Monodelphis_domestica/Monodelphis_domestica.ASM229v1.dna_sm.toplevel.fa.gz,Monodelphis_domestica.ASM229v1.110.gtf.gz,/home/matthew.schmitz/Matthew/genome/ensembl/13616-Monodelphis_domestica/Monodelphis_domestica.ASM229v1.110.gtf.gz
20,Gorilla_gorilla,9593,Gorilla gorilla,Gorilla_gorilla.gorGor4.dna_sm.toplevel.fa.gz,,,,Gorilla_gorilla.gorGor4.dna_sm.toplevel.fa.gz,/home/matthew.schmitz/Matthew/genome/ensembl/9593-Gorilla_gorilla/Gorilla_gorilla.gorGor4.dna_sm.toplevel.fa.gz,Gorilla_gorilla.gorGor4.110.gtf.gz,/home/matthew.schmitz/Matthew/genome/ensembl/9593-Gorilla_gorilla/Gorilla_gorilla.gorGor4.110.gtf.gz
21,Physeter_catodon,9755,Physeter catodon,Physeter_catodon.ASM283717v2.dna_sm.toplevel.fa.gz,,,,Physeter_catodon.ASM283717v2.dna_sm.toplevel.fa.gz,/home/matthew.schmitz/Matthew/genome/ensembl/9755-Physeter_catodon/Physeter_catodon.ASM283717v2.dna_sm.toplevel.fa.gz,Physeter_catodon.ASM283717v2.110.gtf.gz,/home/matthew.schmitz/Matthew/genome/ensembl/9755-Physeter_catodon/Physeter_catodon.ASM283717v2.110.gtf.gz
22,Microcebus_murinus,30608,Microcebus murinus,Microcebus_murinus.Mmur_3.0.dna_sm.toplevel.fa.gz,,,,Microcebus_murinus.Mmur_3.0.dna_sm.toplevel.fa.gz,/home/matthew.schmitz/Matthew/genome/ensembl/30608-Microcebus_murinus/Microcebus_murinus.Mmur_3.0.dna_sm.toplevel.fa.gz,Microcebus_murinus.Mmur_3.0.110.gtf.gz,/home/matthew.schmitz/Matthew/genome/ensembl/30608-Microcebus_murinus/Microcebus_murinus.Mmur_3.0.110.gtf.gz
23,Homo_sapiens,9606,Homo sapiens,Homo_sapiens.GRCh38.dna_sm.toplevel.fa.gz,,,,Homo_sapiens.GRCh38.dna_sm.toplevel.fa.gz,/home/matthew.schmitz/Matthew/genome/ensembl/9606-Homo_sapiens/Homo_sapiens.GRCh38.dna_sm.toplevel.fa.gz,Homo_sapiens.GRCh38.110.gtf.gz,/home/matthew.schmitz/Matthew/genome/ensembl/9606-Homo_sapiens/Homo_sapiens.GRCh38.110.gtf.gz
24,Saimiri_boliviensis_boliviensis,39432,Saimiri boliviensis boliviensis,Saimiri_boliviensis_boliviensis.SaiBol1.0.dna_sm.toplevel.fa.gz,,,,Saimiri_boliviensis_boliviensis.SaiBol1.0.dna_sm.toplevel.fa.gz,/home/matthew.schmitz/Matthew/genome/ensembl/39432-Saimiri_boliviensis_boliviensis/Saimiri_boliviensis_boliviensis.SaiBol1.0.dna_sm.toplevel.fa.gz,Saimiri_boliviensis_boliviensis.SaiBol1.0.110.gtf.gz,/home/matthew.schmitz/Matthew/genome/ensembl/39432-Saimiri_boliviensis_boliviensis/Saimiri_boliviensis_boliviensis.SaiBol1.0.110.gtf.gz
25,Macaca_mulatta,9544,Macaca mulatta,Macaca_mulatta.Mmul_10.dna_sm.toplevel.fa.gz,,,,Macaca_mulatta.Mmul_10.dna_sm.toplevel.fa.gz,/home/matthew.schmitz/Matthew/genome/ensembl/9544-Macaca_mulatta/Macaca_mulatta.Mmul_10.dna_sm.toplevel.fa.gz,Macaca_mulatta.Mmul_10.110.gtf.gz,/home/matthew.schmitz/Matthew/genome/ensembl/9544-Macaca_mulatta/Macaca_mulatta.Mmul_10.110.gtf.gz
26,Urocitellus_parryii,9999,Urocitellus parryii,Urocitellus_parryii.ASM342692v1.dna_sm.toplevel.fa.gz,,,,Urocitellus_parryii.ASM342692v1.dna_sm.toplevel.fa.gz,/home/matthew.schmitz/Matthew/genome/ensembl/9999-Urocitellus_parryii/Urocitellus_parryii.ASM342692v1.dna_sm.toplevel.fa.gz,Urocitellus_parryii.ASM342692v1.110.gtf.gz,/home/matthew.schmitz/Matthew/genome/ensembl/9999-Urocitellus_parryii/Urocitellus_parryii.ASM342692v1.110.gtf.gz
27,Papio_anubis,9555,Papio anubis,Papio_anubis.Panubis1.0.dna_sm.toplevel.fa.gz,,,,Papio_anubis.Panubis1.0.dna_sm.toplevel.fa.gz,/home/matthew.schmitz/Matthew/genome/ensembl/9555-Papio_anubis/Papio_anubis.Panubis1.0.dna_sm.toplevel.fa.gz,Papio_anubis.Panubis1.0.110.gtf.gz,/home/matthew.schmitz/Matthew/genome/ensembl/9555-Papio_anubis/Papio_anubis.Panubis1.0.110.gtf.gz
28,Tupaia_belangeri,37347,Tupaia belangeri,Tupaia_belangeri.TREESHREW.dna_sm.toplevel.fa.gz,,,,Tupaia_belangeri.TREESHREW.dna_sm.toplevel.fa.gz,/home/matthew.schmitz/Matthew/genome/ensembl/37347-Tupaia_belangeri/Tupaia_belangeri.TREESHREW.dna_sm.toplevel.fa.gz,Tupaia_belangeri.TREESHREW.110.gtf.gz,/home/matthew.schmitz/Matthew/genome/ensembl/37347-Tupaia_belangeri/Tupaia_belangeri.TREESHREW.110.gtf.gz
29,Aotus_nancymaae,37293,Aotus nancymaae,Aotus_nancymaae.Anan_2.0.dna_sm.toplevel.fa.gz,,,,Aotus_nancymaae.Anan_2.0.dna_sm.toplevel.fa.gz,/home/matthew.schmitz/Matthew/genome/ensembl/37293-Aotus_nancymaae/Aotus_nancymaae.Anan_2.0.dna_sm.toplevel.fa.gz,Aotus_nancymaae.Anan_2.0.110.gtf.gz,/home/matthew.schmitz/Matthew/genome/ensembl/37293-Aotus_nancymaae/Aotus_nancymaae.Anan_2.0.110.gtf.gz
30,Oryctolagus_cuniculus,9986,Oryctolagus cuniculus,Oryctolagus_cuniculus.OryCun2.0.dna_sm.toplevel.fa.gz,,,,Oryctolagus_cuniculus.OryCun2.0.dna_sm.toplevel.fa.gz,/home/matthew.schmitz/Matthew/genome/ensembl/9986-Oryctolagus_cuniculus/Oryctolagus_cuniculus.OryCun2.0.dna_sm.toplevel.fa.gz,Oryctolagus_cuniculus.OryCun2.0.110.gtf.gz,/home/matthew.schmitz/Matthew/genome/ensembl/9986-Oryctolagus_cuniculus/Oryctolagus_cuniculus.OryCun2.0.110.gtf.gz
31,Monodon_monoceros,40151,Monodon monoceros,Monodon_monoceros.NGI_Narwhal_1.dna_sm.toplevel.fa.gz,,,,Monodon_monoceros.NGI_Narwhal_1.dna_sm.toplevel.fa.gz,/home/matthew.schmitz/Matthew/genome/ensembl/40151-Monodon_monoceros/Monodon_monoceros.NGI_Narwhal_1.dna_sm.toplevel.fa.gz,Monodon_monoceros.NGI_Narwhal_1.110.gtf.gz,/home/matthew.schmitz/Matthew/genome/ensembl/40151-Monodon_monoceros/Monodon_monoceros.NGI_Narwhal_1.110.gtf.gz
32,Pan_troglodytes,9598,Pan troglodytes,Pan_troglodytes.Pan_tro_3.0.dna_sm.toplevel.fa.gz,,,,Pan_troglodytes.Pan_tro_3.0.dna_sm.toplevel.fa.gz,/home/matthew.schmitz/Matthew/genome/ensembl/9598-Pan_troglodytes/Pan_troglodytes.Pan_tro_3.0.dna_sm.toplevel.fa.gz,Pan_troglodytes.Pan_tro_3.0.110.gtf.gz,/home/matthew.schmitz/Matthew/genome/ensembl/9598-Pan_troglodytes/Pan_troglodytes.Pan_tro_3.0.110.gtf.gz
33,Phocoena_sinus,42100,Phocoena sinus,Phocoena_sinus.mPhoSin1.pri.dna_sm.toplevel.fa.gz,,,,Phocoena_sinus.mPhoSin1.pri.dna_sm.toplevel.fa.gz,/home/matthew.schmitz/Matthew/genome/ensembl/42100-Phocoena_sinus/Phocoena_sinus.mPhoSin1.pri.dna_sm.toplevel.fa.gz,Phocoena_sinus.mPhoSin1.pri.110.gtf.gz,/home/matthew.schmitz/Matthew/genome/ensembl/42100-Phocoena_sinus/Phocoena_sinus.mPhoSin1.pri.110.gtf.gz
34,Tursiops_truncatus,9739,Tursiops truncatus,Tursiops_truncatus.turTru1.dna_sm.toplevel.fa.gz,,,,Tursiops_truncatus.turTru1.dna_sm.toplevel.fa.gz,/home/matthew.schmitz/Matthew/genome/ensembl/9739-Tursiops_truncatus/Tursiops_truncatus.turTru1.dna_sm.toplevel.fa.gz,Tursiops_truncatus.turTru1.110.gtf.gz,/home/matthew.schmitz/Matthew/genome/ensembl/9739-Tursiops_truncatus/Tursiops_truncatus.turTru1.110.gtf.gz
0,Stenella_coeruleoalba,9737,Stenella coeruleoalba,GCA_951394435.1_mSteCoe1.1_genomic.fna.gz,,,,GCA_951394435.1_mSteCoe1.1_genomic.fna.gz,/home/matthew.schmitz/Matthew/genome/ncbi/9737-Stenella_coeruleoalba/best/GCA_951394435.1_mSteCoe1.1_genomic.fna.gz,,/home/matthew.schmitz/Matthew/genome/ncbi/9737-Stenella_coeruleoalba/best/
1,Canis_lupus,9612,Canis lupus,GCA_905319855.2_mCanLor1.2_genomic.fna.gz,,,,GCA_905319855.2_mCanLor1.2_genomic.fna.gz,/home/matthew.schmitz/Matthew/genome/ncbi/9612-Canis_lupus/best/GCA_905319855.2_mCanLor1.2_genomic.fna.gz,,/home/matthew.schmitz/Matthew/genome/ncbi/9612-Canis_lupus/best/
2,Sus_scrofa,9823,Sus scrofa,GCA_030704935.1_ASM3070493v1_genomic.fna.gz,,,,GCA_030704935.1_ASM3070493v1_genomic.fna.gz,/home/matthew.schmitz/Matthew/genome/ncbi/9823-Sus_scrofa/best/GCA_030704935.1_ASM3070493v1_genomic.fna.gz,,/home/matthew.schmitz/Matthew/genome/ncbi/9823-Sus_scrofa/best/
3,Gorilla_gorilla_gorilla,9595,Gorilla gorilla gorilla,GCA_028885475.1_NHGRI_mGorGor1-v1.1-0.2.freeze_pat_genomic.fna.gz,,,,GCA_028885475.1_NHGRI_mGorGor1-v1.1-0.2.freeze_pat_genomic.fna.gz,/home/matthew.schmitz/Matthew/genome/ncbi/9595-Gorilla_gorilla_gorilla/best/GCA_028885475.1_NHGRI_mGorGor1-v1.1-0.2.freeze_pat_genomic.fna.gz,,/home/matthew.schmitz/Matthew/genome/ncbi/9595-Gorilla_gorilla_gorilla/best/
4,Mus_musculus,10090,Mus musculus,GCA_921998315.2_DBA_2J_v3_genomic.fna.gz,,,,GCA_921998315.2_DBA_2J_v3_genomic.fna.gz,/home/matthew.schmitz/Matthew/genome/ncbi/10090-Mus_musculus/best/GCA_921998315.2_DBA_2J_v3_genomic.fna.gz,,/home/matthew.schmitz/Matthew/genome/ncbi/10090-Mus_musculus/best/
5,Callithrix_jacchus,9483,Callithrix jacchus,GCF_009663435.1_Callithrix_jacchus_cj1700_1.1_genomic.fna.gz,,,,GCF_009663435.1_Callithrix_jacchus_cj1700_1.1_genomic.fna.gz,/home/matthew.schmitz/Matthew/genome/ncbi/9483-Callithrix_jacchus/best/GCF_009663435.1_Callithrix_jacchus_cj1700_1.1_genomic.fna.gz,genomic.gtf.gz,/home/matthew.schmitz/Matthew/genome/ncbi/9483-Callithrix_jacchus/best/genomic.gtf.gz
6,Danio_rerio,7955,Danio rerio,GCA_033170195.1_ASM3317019v1_genomic.fna.gz,,,,GCA_033170195.1_ASM3317019v1_genomic.fna.gz,/home/matthew.schmitz/Matthew/genome/ncbi/7955-Danio_rerio/best/GCA_033170195.1_ASM3317019v1_genomic.fna.gz,,/home/matthew.schmitz/Matthew/genome/ncbi/7955-Danio_rerio/best/
7,Canis_lupus_familiaris,9615,Canis lupus familiaris,GCA_013276365.2_UNSW_CanFamBas_1.2_genomic.fna.gz,,,,GCA_013276365.2_UNSW_CanFamBas_1.2_genomic.fna.gz,/home/matthew.schmitz/Matthew/genome/ncbi/9615-Canis_lupus_familiaris/best/GCA_013276365.2_UNSW_CanFamBas_1.2_genomic.fna.gz,,/home/matthew.schmitz/Matthew/genome/ncbi/9615-Canis_lupus_familiaris/best/
8,Bos_taurus,9913,Bos taurus,GCA_947034695.1_seqoccin.Bt.char.v1.0_genomic.fna.gz,,,,GCA_947034695.1_seqoccin.Bt.char.v1.0_genomic.fna.gz,/home/matthew.schmitz/Matthew/genome/ncbi/9913-Bos_taurus/best/GCA_947034695.1_seqoccin.Bt.char.v1.0_genomic.fna.gz,,/home/matthew.schmitz/Matthew/genome/ncbi/9913-Bos_taurus/best/
9,Bos_taurus,9913,Bos taurus,GCF_000003055.6_Bos_taurus_UMD_3.1.1_genomic.fna.gz,,,,GCF_000003055.6_Bos_taurus_UMD_3.1.1_genomic.fna.gz,/home/matthew.schmitz/Matthew/genome/ncbi/9913-Bos_taurus/reference/GCF_000003055.6_Bos_taurus_UMD_3.1.1_genomic.fna.gz,GCF_000003055.6_Bos_taurus_UMD_3.1.1_genomic.gtf.gz,/home/matthew.schmitz/Matthew/genome/ncbi/9913-Bos_taurus/reference/GCF_000003055.6_Bos_taurus_UMD_3.1.1_genomic.gtf.gz
10,Chlorocebus_sabaeus,60711,Chlorocebus sabaeus,GCF_000409795.2_Chlorocebus_sabeus_1.1_genomic.fna.gz,,,,GCF_000409795.2_Chlorocebus_sabeus_1.1_genomic.fna.gz,/home/matthew.schmitz/Matthew/genome/ncbi/60711-Chlorocebus_sabaeus/best/GCF_000409795.2_Chlorocebus_sabeus_1.1_genomic.fna.gz,genomic.gtf.gz,/home/matthew.schmitz/Matthew/genome/ncbi/60711-Chlorocebus_sabaeus/best/genomic.gtf.gz
11,Eschrichtius_robustus,9764,Eschrichtius robustus,GCA_028021215.1_mEscRob2.pri_genomic.fna.gz,,,,GCA_028021215.1_mEscRob2.pri_genomic.fna.gz,/home/matthew.schmitz/Matthew/genome/ncbi/9764-Eschrichtius_robustus/best/GCA_028021215.1_mEscRob2.pri_genomic.fna.gz,,/home/matthew.schmitz/Matthew/genome/ncbi/9764-Eschrichtius_robustus/best/
12,Balaenoptera_acutorostrata,9767,Balaenoptera acutorostrata,GCF_949987535.1_mBalAcu1.1_genomic.fna.gz,,,,GCF_949987535.1_mBalAcu1.1_genomic.fna.gz,/home/matthew.schmitz/Matthew/genome/ncbi/9767-Balaenoptera_acutorostrata/best/GCF_949987535.1_mBalAcu1.1_genomic.fna.gz,genomic.gtf.gz,/home/matthew.schmitz/Matthew/genome/ncbi/9767-Balaenoptera_acutorostrata/best/genomic.gtf.gz
13,Rattus_norvegicus,10116,Rattus norvegicus,GCA_021556685.1_UTH_Rnor_SHRSP_BbbUtx_1.0_genomic.fna.gz,,,,GCA_021556685.1_UTH_Rnor_SHRSP_BbbUtx_1.0_genomic.fna.gz,/home/matthew.schmitz/Matthew/genome/ncbi/10116-Rattus_norvegicus/best/GCA_021556685.1_UTH_Rnor_SHRSP_BbbUtx_1.0_genomic.fna.gz,,/home/matthew.schmitz/Matthew/genome/ncbi/10116-Rattus_norvegicus/best/
14,Rattus_norvegicus,10116,Rattus norvegicus,GCF_015227675.2_mRatBN7.2_genomic.fna.gz,,,,GCF_015227675.2_mRatBN7.2_genomic.fna.gz,/home/matthew.schmitz/Matthew/genome/ncbi/10116-Rattus_norvegicus/reference/GCF_015227675.2_mRatBN7.2_genomic.fna.gz,GCF_015227675.2_mRatBN7.2_genomic.gtf.gz,/home/matthew.schmitz/Matthew/genome/ncbi/10116-Rattus_norvegicus/reference/GCF_015227675.2_mRatBN7.2_genomic.gtf.gz
15,Kogia_breviceps,27615,Kogia breviceps,GCF_026419965.1_mKogBre1_haplotype_1_genomic.fna.gz,,,,GCF_026419965.1_mKogBre1_haplotype_1_genomic.fna.gz,/home/matthew.schmitz/Matthew/genome/ncbi/27615-Kogia_breviceps/best/GCF_026419965.1_mKogBre1_haplotype_1_genomic.fna.gz,genomic.gtf.gz,/home/matthew.schmitz/Matthew/genome/ncbi/27615-Kogia_breviceps/best/genomic.gtf.gz
16,Loxodonta_africana,9785,Loxodonta africana,GCA_030014295.1_mLoxAfr1.hap2_genomic.fna.gz,,,,GCA_030014295.1_mLoxAfr1.hap2_genomic.fna.gz,/home/matthew.schmitz/Matthew/genome/ncbi/9785-Loxodonta_africana/best/GCA_030014295.1_mLoxAfr1.hap2_genomic.fna.gz,,/home/matthew.schmitz/Matthew/genome/ncbi/9785-Loxodonta_africana/best/
17,Felis_catus,9685,Felis catus,GCF_018350175.1_F.catus_Fca126_mat1.0_genomic.fna.gz,,,,GCF_018350175.1_F.catus_Fca126_mat1.0_genomic.fna.gz,/home/matthew.schmitz/Matthew/genome/ncbi/9685-Felis_catus/best/GCF_018350175.1_F.catus_Fca126_mat1.0_genomic.fna.gz,genomic.gtf.gz,/home/matthew.schmitz/Matthew/genome/ncbi/9685-Felis_catus/best/genomic.gtf.gz
18,Ornithorhynchus_anatinus,9258,Ornithorhynchus anatinus,GCF_004115215.2_mOrnAna1.pri.v4_genomic.fna.gz,,,,GCF_004115215.2_mOrnAna1.pri.v4_genomic.fna.gz,/home/matthew.schmitz/Matthew/genome/ncbi/9258-Ornithorhynchus_anatinus/best/GCF_004115215.2_mOrnAna1.pri.v4_genomic.fna.gz,genomic.gtf.gz,/home/matthew.schmitz/Matthew/genome/ncbi/9258-Ornithorhynchus_anatinus/best/genomic.gtf.gz
